Id,Country,Name,Latitude,Longitude,Status,National_C,CTRY,MCA,UNLocode
3125,"GRC","Kontokali","39.649954000000001","19.851414999999999","N/A",,,,
3126,"GRC","Loutra Gialtron","38.849972999999999","22.988043999999999","N/A",,,,
3127,"GRC","Loutraki","37.978389000000000","22.975428000000001","N/A",,,,
3128,"GRC","Ipsos","39.695214999999997","19.839731000000000","N/A",,,,
3129,"GRC","Monastiraki","38.405603999999997","21.940961999999999","N/A",,,,
3130,"GRC","Nea Anchialos","39.275201000000003","22.821338999999998","N/A",,,,
3131,"GRC","Nisaki","39.723439999999997","19.896011999999999","N/A",,,,
3132,"GRC","Agios Ioannis Domvrainas","38.214660000000002","22.960446000000001","ERS",,,,
3133,"GRC","Ormos Lemonias","38.359718000000001","22.254059999999999","N/A",,,,
3134,"GRC","Paralia Agiou Andrea","37.371437999999998","22.784065999999999","N/A",,,,
3135,"GRC","Pessada Kefallinnias","38.107871000000003","20.590167999999998","UNECE",,,,
3136,"GRC","Petani Beach","38.262954000000001","20.377935000000001","UNECE",,,,
3137,"GRC","Platia Ammos","36.366100000000003","22.961988000000002","N/A",,,,
3138,"GRC","Saint George","39.425781999999998","19.943477000000001","UNECE",,,,
3139,"GRC","Saint Nicolas","38.369267000000001","22.681781999999998","UNECE",,,,
3140,"GRC","Shinari Zakynthou","37.882720999999997","20.722283999999998","UNECE",,,,
3141,"GRC","Skafidia","37.701481999999999","21.317457999999998","UNECE",,,,
3142,"GRC","Skaloma","38.399650000000001","21.993392000000000","UNECE",,,,
3143,"GRC","Sourpi","39.116087999999998","22.940888000000001","UNECE",,,,
3144,"GRC","Syvota","39.408262999999998","20.237732999999999","UNECE",,,,
3145,"GRC","Tsingeli","39.157932000000002","22.849266000000000","UNECE",,,,
3146,"GRC","Agia Kyriaki, Agkonas, Kefalonias","38.310893000000000","20.475733999999999","ERS",,,,
3147,"GRC","Angelochori, Thessalonikis","40.495274000000002","22.814354999999999","ERS",,,,
3148,"GRC","Atherinos Meganisiou","38.661431999999998","20.798725000000001","ERS",,,,
3149,"GRC","Epanomis Thessalonikis (Paralia Epanomis)","40.407226000000001","22.892112000000001","ERS",,,,
3150,"GRC","Iria, Argolida","37.478076999999999","22.998075000000000","ERS",,,,
3151,"GRC","Karavomylos Kefalonias","38.253546000000000","20.631792000000001","ERS",,,,
3152,"GRC","Karavostasi Lakonias","36.695613999999999","22.379134000000001","ERS",,,,
3153,"GRC","Poros Lefkadas","38.637551000000002","20.700918000000001","ERS",,,,
3154,"GRC","Agios Sostis","37.716092000000003","20.864660000000001","N/A",,,,
3155,"GRC","Vivari Argolidas","37.535755999999999","22.918600999999999","ERS",,,,
3156,"GRC","Alykes, Katastari","37.842640000000003","20.771263000000001","N/A",,,,
3157,"GRC","Psarou","37.840654000000001","20.820893999999999","N/A",,,,
3158,"GRC","Planos","37.820298000000001","20.867374000000002","N/A",,,,
3159,"GRC","Molos","38.834170999999998","22.647552000000001","N/A",,,,
3160,"GRC","Lefkimmi","39.432780000000001","20.084830000000000","ERS",,,,
3161,"GRC","St. Nicholas Beach, Vasilikos","37.727677999999997","20.991488000000000","N/A",,,,
3162,"GRC","Ormos Dhioni","38.378739000000003","21.110976999999998","N/A",,,,
3163,"GRC","Petalidi","36.959454000000001","21.932304999999999","N/A",,,,
3164,"GRC","Agios Andreas, Messinia","36.863509999999998","21.923262999999999","N/A",,,,
