Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_61;ITP061;44,475986;12,453451;881ea066bbfffff;613028337597546495;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463664308223;2;8
IT;OFFSHORE_43;ITP043;39,088056;17,214444;883f242a65fffff;613600342573055999;2;8
IT;OFFSHORE_41;ITP041;44,423325;12,520448;881ea3910dfffff;613028555109957631;2;8
IT;OFFSHORE_32;ITP032;37,00661;13,623818;883f345523fffff;613601453310738431;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601445815517183;2;8
IT;OFFSHORE_2;ITP002;44,486994;12,531443;881ea39357fffff;613028555418238975;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448722169855;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463242780671;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029323959435263;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448948662271;2;8
IT;OFFSHORE_25;ITP025;44,39535;12,44372;881ea39a4dfffff;613028337287167999;2;8
IT;OFFSHORE_2;ITP002;44,486994;12,531443;881ea39357fffff;613028555657314303;2;8
IT;OFFSHORE_38;ITP038;42,648861;14,170126;881e819149fffff;613026218708566015;2;8
IT;OFFSHORE_60;ITP060;44,56644;12,881495;881ea15915fffff;613028402653298687;2;8
IT;OFFSHORE_78;ITP078;44,389972;12,453423;881ea39a41fffff;613028557527973887;2;8
IT;OFFSHORE_12;ITP012;44,030369;13,809339;881eaeca83fffff;613029326457143295;2;8
IT;OFFSHORE_77;ITP077;44,540237;12,495601;881ea02989fffff;613028321170554879;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448892039167;2;8
IT;OFFSHORE_35;ITP035;42,201212;14,939078;881e813217fffff;613026193198809087;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448770404351;2;8
IT;OFFSHORE_11;ITP011;44,554394;12,471698;881ea029c9fffff;613028320793067519;2;8
IT;OFFSHORE_65;ITP065;42,934945;14,243294;881e852003fffff;613026463244877823;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449575710719;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029326463434751;2;8
IT;OFFSHORE_79;ITP079;44,531584;12,515087;881ea0299dfffff;613028320931479551;2;8
IT;OFFSHORE_73;ITP073;44,478089;12,54616;881ea39311fffff;613028555411947519;2;8
IT;OFFSHORE_22;ITP022;44,343274;12,74543;881ea38019fffff;613028550628343807;2;8
IT;OFFSHORE_80;ITP080;36,559805;14,637158;883f308f29fffff;613601194008379391;2;8
IT;OFFSHORE_81;ITP081;42,840158;14,155689;881e852ae1fffff;613026466105393151;2;8
IT;OFFSHORE_8;ITP008;44,171042;13,113554;881ea3b99bfffff;613028566002565119;2;8
IT;OFFSHORE_41;ITP041;44,423325;12,520448;881ea3910dfffff;613028555116249087;2;8
IT;OFFSHORE_77;ITP077;44,540237;12,495601;881ea02989fffff;613028321191526399;2;8
IT;OFFSHORE_64;ITP064;36,540638;14,625491;883f308899fffff;613601194004185087;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337419288575;2;8
IT;OFFSHORE_82;ITP082;44,228781;13,078865;881ea3b81dfffff;613028565602009087;2;8
IT;OFFSHORE_9;ITP009;36,954193;14,216245;883f347415fffff;613601461621751807;2;8
IT;OFFSHORE_32;ITP032;37,00661;13,623818;883f345523fffff;613601453333807103;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448959148031;2;8
IT;OFFSHORE_64;ITP064;36,540638;14,625491;883f308899fffff;613601193999990783;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449573613567;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448764112895;2;8
IT;OFFSHORE_39;ITP039;44,405721;12,660845;881ea39193fffff;613028551156826111;2;8
IT;OFFSHORE_26;ITP026;42,213157;14,946579;881e813213fffff;613026193167351807;2;8
IT;OFFSHORE_58;ITP058;42,22899;14,607395;881e811589fffff;613026185489678335;2;8
IT;OFFSHORE_10;ITP010;44,391179;12,343146;881ea0653bfffff;613028337194893311;2;8
IT;OFFSHORE_24;ITP024;44,480258;12,453201;881ea06695fffff;613028337563992063;2;8
IT;OFFSHORE_29;ITP029;44,294615;12,639013;881ea3810dfffff;613028550915653631;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029326530543615;2;8
IT;OFFSHORE_8;ITP008;44,171042;13,113554;881ea3b99bfffff;613028565996273663;2;8
IT;OFFSHORE_80;ITP080;36,559805;14,637158;883f308f29fffff;613601194029350911;2;8
IT;OFFSHORE_54;ITP054;44,108865;13,648827;881eaed8edfffff;613029330129256447;2;8
